[0.10] Hong Inki是目前韩国最火爆的
[2.73] 股币双能交易员
[146.17] 比如在23年8月31日的成交量排行榜中
[150.10] 有几只股票的股价上涨超过了5%
[153.17] 包括Posco DX彩虹机器人
[156.17] Polaris office invantage lab
[158.70] Neuromeca Parasibio这些
[161.60] Posco DX彩虹机器人和Neuromeca这些股票
[165.77] 就属于机器人主题股
[167.40] 从上午11点开始
[169.00] 彩虹机器人显示出了较高的涨幅
[171.57] 下午1点
[172.40] Posco DX和Neuromecca也开始发力
[175.33] 最终以涨停价收盘
[176.97] 很明显
[177.80] 彩虹机器人是这个主题中的一等股
[180.73] 第二天它最高上涨了12.74%
[184.07] 收盘价涨幅是7.46%
[187.27] 但是Posco DX却下跌了7.66%
[190.97] Neuromecha下跌了1.29%
[193.93] 通常情况下
[195.17] 主导主题的一等股在当天结束后
[197.90] 继续强势的概率较高
[199.57] 当一等股进入涨停状态的时候
[202.17] 很多人会习惯关注二等股
[204.13] 这种情况非常危险
[206.13] 因为一旦一等股解除涨停
[208.33] 人们还是会卖出二等股
[209.97] 去再买入一等股
[211.37] 这就可能会导致二等股出现大幅下跌
[214.97] Hong Inki认为
[216.30] 最强大也最好用的突破模型就是
[219.27] 当一等标地
[220.13] 出现首次突破历史高点的长阳线
[222.93] 尤其是巨量且涨幅超过10%的幅度
[226.07] 那再次大幅上涨的概率就很大
[228.70] 这是一种价格急剧上涨的情况
[231.13] 动量非常充足
[233.00] 新高价通常指的是
[234.60] 突破了过去6个月内的高点
[236.67] 当然如果能突破历史最高点会更好
[239.93] 当价格放量突破新高价的时候
[242.50] 由于做突破的资金非常多
[244.60] 这种情况下的共识买盘也容易聚集
[247.73] 追涨资金也会进一步的推动价格
[250.87] 以Isupetesis为例
[253.07] 23年5月25日突破历史新高
[256.00] 价格上涨了17.1%
[258.57] 在突破前高并出现长阳线后持续上涨
[262.27] 在两个月内上涨幅度达到了236%
[266.33] 大牛股通常都是从这种模式开始
[268.73] 并持续上涨的
[270.10] 不要因为价格创了新高
[271.77] 就急于获利了结
[273.20] 后面很可能会出现更强劲的走势
[275.90] Hong Inki说
[276.93] 这是它最常用的策略
[278.67] 很多时候
[279.60] 除非是突破新高并带有长阳线的标的
[282.67] 否则它几乎不会进行交易
[285.30] 这种标的
[286.20] 在第一根长阳线后的两个交易日内
[288.57] 是集中交易的好机会
[290.30] 如果是主导题材的一等股
[292.13] 在长阳线突破前高上方收盘
[294.90] 第二天大多数情况下会继续涨
[297.50] 如果有回调
[298.57] 可以在支撑位入场
[300.10] 或者在突破高点的时候入场
[302.70] 长阳县后的第三天
[304.27] 再强的股票也不可能每天都上涨
[306.97] 随着时间推移
[308.27] 热度会逐步减弱
[309.93] 主导主题的一等股也不行
[312.27] 如果第三天出现了十字星
[314.20] 或者倒锤子线
[315.67] 甚至下跌
[316.57] 跌破了开盘价的1%就可以考虑出场
[319.60] 下跌3% 一定
[321.07] 要出场如果上涨了5%以上
[324.00] 也一定要离场
[325.47] 时刻谨记
[326.47] 自己是一位高贵的短线交易员
[329.10] 好了娱乐节目没有任何投资建议
[331.90] 记得检查一下是否点击了订阅按钮
[334.73] 以免错过更更有利可图的交易系统
[337.37] 祝你早安午安晚安拜拜
