[0.13] 呦 我来了
[1.50] 欢迎来到投机实验室
[143.53] 但是却很有效的给自己洗脑的做法
[146.70] 誓言本质上是一种加强对目标
[149.27] 和计划执行承诺的一种方式
[151.33] 可以提醒你
[152.37] 这一天都不能偏离交易计划
[154.53] 时间久了
[155.70] 你就会对止盈止损越来越坚定
[157.87] 现在就把你的毒誓写下来
[159.77] 放在你随时能看到的地方
[161.97] 前两个步骤都与情绪相关
[164.33] 人们不能消除自己的情绪
[166.27] 但可以管理它
[167.40] 能否长期实现盈利
[169.20] 心理因素可能会占了90%
[172.10] 第三个步骤是设定清晰的交易计划
[175.13] 并坚决执行
[176.87] Umar说作为一名合格的交易员
[179.33] 不应该去预测行情
[180.97] 他的任务是根据价格的行为做出反应
[184.10] 很明显他是一位价格行为交易员
[186.87] 分析过他全部的交易视频后发现
[189.27] 他经常选择在关键区域进行突破
[192.00] 或者波段操作
[193.13] 也就是在支撑
[194.10] 阻力位和供给需求区域附近交易
[197.13] 他会提前分析出
[198.30] 大级别周期的关键位置
[200.13] 并在图表中标注出来
[201.93] 然后在开始交易之前
[203.60] 观察价格在哪个区间内波动
[205.87] 当价格接近他设定的关键区域时
[208.50] 准备交易
[209.77] 交易前会计划好在什么时机进场
[212.53] 在哪里设置止损不仅不容易被打到
[215.40] 还能在走势不如预期时限制损失
[218.93] 止盈的位置设在哪里大概率会成交
[221.90] 有没有增长的空间防止提早获利了结
[225.10] 价格反转后又该如何操作等等
[228.13] 有这样一个交易计划的剧本
[229.87] 是非常有必要的
[231.40] 以这笔亚马逊的空单为例
[233.47] Umar在一分钟图表观察到
[235.77] 价格从127
[237.33] 反弹到了130附近的大周期供应区位置
[240.53] 并没有放量突破的迹象
[242.33] 他认为现在价格已经上涨疲软
[245.13] 于是准备在供应区附近设置空单
[247.60] 如果价格突破130.5他就会止损
[251.10] 止盈设置在下方的顶底转换结构位
[253.97] 也就是128.8附近
[256.33] 可以看到
[257.37] 这笔订单的走势如预期下跌
[259.93] 当价格到达128.8附近的止盈位后出场
[263.87] 有人会说如果不止盈
[265.37] 后面的盈利空间更大
[266.97] 但是
[267.73] Umar从来只吃确定性高的一段走势
[270.47] 这也是他能稳定盈利的关键
[273.17] 他是超短线高杠杆选手
[275.50] 贪婪和恐惧都是他必须要克服的
[278.50] 第四个步骤
[279.60] 是设置仓位的规模与风险的范围
[282.47] 这个步骤非常重要
[284.00] 同样盈利百万美元的交易员拜恩斯
[286.60] 也这样认为
[288.00] 他说自己每笔交易的风险是1,000美元
[290.67] 从来也不会把它提高或降低
[292.87] 虽然他的净资产已经达到了数百万
[295.77] 有很多人会问他
[297.20] 为什么不提高仓位或扩大风险回报比
[300.70] 他说他绝对不会犯这样的错误
[303.13] 冒着1,000美元的风险去赚2,000美元
[306.07] 就不会因为亏损而感到不安
[308.13] 这些亏损额度不会触动他的情绪
[310.80] 这是他保持交易状态很重要的一点
[313.60] 他的建议是
[314.70] 当你选择一个
[315.90] 你不会在意的仓位规模与风险范围时
[318.73] 你的交易状态才是最好的
[321.13] 第五个步骤是记录和复盘交易
[324.50] 持续的优化改进交易方式
[326.53] 可以帮助自己稳步提高交易水平
[329.37] 这个过程比较繁琐
[330.87] 需要经常复盘图表
[332.47] 和分析自己以往做过的交易
[334.97] Umar赚到的1,500万美元
[337.17] 其中绝大部分来自于近几年
[339.67] 前期的盈利可能只能占到10%到20%
[343.80] 交易是一个长期的过程
[345.57] 以交易为生需要学习的东西很多
[348.57] 退神说过
[349.70] 有的人交易之余喜欢打发时间
[352.27] 有的人却在利用这段时间不断提高
[354.90] 人与人的差距就是这样慢慢加大的
[357.73] 有人十多年的交易经验
[359.47] 可能都不及别人两年的水平
[361.87] 尽管各种经济金融交易知识很枯燥
[364.77] 尽管记录每笔交易
[366.37] 复盘市场走势很辛苦
[368.33] 你要去思考与时俱进
[370.10] 要去求教指点迷津
[371.77] 才能从其他交易员的钱包里拿走利润
[375.17] 好了 记得点赞收藏
[377.27] 再检查一下订阅按钮
[378.80] 祝你早安晚安晚安 拜拜
