[0.10] Bit浪浪应该是币圈现役最强的短线交易员
[176.12] 先确定大级别趋势和阶段
[178.48] 比如日线或者小时线
[180.45] 然后判断上方的盈利空间够不够大
[183.12] 也就是距离价格最容易出现停止和反转的位置幅度有多大
[188.28] 最后是切换到小级别图表找顺势的企稳拐点
[192.62] 以盈利118万美元的People为例
[195.28] 很明显它在经历了一段时间的下跌和震荡后
[198.78] 一根17%的大阳线快速突破了震荡区间
[202.58] 行情开始启动，这就是阶段一
[205.05] 这里如果没赶上
[206.28] 就可以等连续上涨后出现分歧结构
[209.12] 这里容易设置止损
[211.05] 分歧结构这里就是阶段二
[213.38] 浪浪就是5月20日就在阶段二的分歧结构位置开始入场
[218.52] 我们可以看到上方的关键阻力位置有0.07附近
[222.88] 再向上是0.085
[224.78] 顺势做多的盈利空间非常大
[227.28] 这里的大小分歧如何提前判断
[230.02] 在小级别图表到了关键阻力位置就容易出现小分歧
[234.42] 在日线级别很关键或者很高的位置
[237.42] 并且前面已经经历了几段上涨
[239.98] 就容易出现大分歧
[241.92] 预期是大分歧后
[243.42] 短期就尽量不要参与
[245.22] 等收敛到末端再去尝试
[247.25] 震荡时间越长越好
[249.05] 收敛幅度越小越好
[251.02] 最后是在小级别的15分钟图表去找企稳拐点做突破
[255.78] 做突破是做突破的结构
[258.22] 而不是做突破点位
[259.92] 当行情突破的意向出现时就可以尝试做多
[263.52] 如果是在这种高点点位做突破
[265.92] 有效止损幅度就会太大
[268.12] 容易出现大亏
[269.78] 按照浪浪企稳拐点的定义
[271.88] 冲高回落的第一波调整不能动
[274.22] 反弹后也不能动
[275.62] 等再次反弹后再下跌企稳
[278.25] 价格跌不下去的时候再尝试做多
[281.28] 一二四阶段的突破交易逻辑都是一样的
[284.38] 趋势阶段和空间明确后
[286.48] 拐点位置的选择也可以相对粗糙一些
[289.38] 有多头信号就可以去尝试
[291.65] 止损幅度大的就需要缩小仓位
[294.28] 赌的就是创新低的次数有限
[296.88] 上方的空间够大
[298.68] 这种突破方法可能经常会被打损
[301.68] 但是只要抓住一次机会就能弥补损失
[304.92] 接着说心态，心态是最重要的
[307.48] 但心态主要是取决于仓位管理的好坏
[310.32] 浪浪的胜率只有42%左右
[313.05] 但是盈利曲线能做到没有大回撤
[315.45] 主要就归功于他分仓分的好
[317.82] 再怎么亏都没事，容错率非常高
[320.82] 分仓的意思是
[322.18] 比如我们能拿出三万美元做合约
[324.82] 把它分成三份，每份是一万
[327.38] 每次只用其中的一份去开仓
[330.02] 如果亏钱了，比如亏了1000
[332.32] 那就需要再补进去1000
[334.42] 如果赚了1000，那就要把这1000提走
[337.68] 这样去确保每次开仓都是固定的一万美元仓位
[341.65] 直到你能用三万赚到六万
[343.65] 就可以把每次的开仓仓位提高到一万五或者两万
[347.45] 不过每个人承受风险的上限不同
[350.02] 这个需要你的心理能接受才可以
[352.28] 不能提高仓位后只要一波动心脏病就犯了
[355.42] 那就肯定不行
[357.02] 这样分仓有两个好处
[358.78] 一个是即使是遇见交易所插针
[361.65] 极端行情
[362.78] 最多也就是爆掉三分之一的资金
[365.22] 相当于设置了一个强制的第二止损险
[368.32] 另一个是保持固定的仓位可以在亏损或者盈利的时候
[372.68] 都能保持一个相对平和的心态
[375.32] 在这个基础上，设置上止损
[377.88] 低倍的杠杆，不逆势交易
[380.22] 就能一直走在财务自由的路上
[382.85] 有很多人会好奇
[384.42] 浪浪是怎么能在市场大热前精准的找到那些会爆发的币然后重仓出击
[390.02] 又是怎么能在市场危机来之前果断撤出做防守的
[393.98] 他说他能做到这些
[395.92] 是来自他对市场温度的感知
[398.42] 这是他进入所有交易的大前提
[401.25] 市场有周期，周期就是人性
[403.82] 是情绪是钱，什么时候市场里的钱多
[406.88] 什么时候市场钱少
[408.45] 什么时候市场热，什么时候市场冷
[410.92] 这是必须最优先要判断出来的
[413.45] 赚钱的难易程度就像四季的春夏秋冬
[416.68] 有热有冷
[417.72] 周而复始，春夏秋冬的每一个阶段
[420.58] 对应的市场和山寨币的走势都不一样
[423.78] 判断春夏秋冬最重要的作用
[426.08] 就是它可以对仓位和整个做单频率上做清晰的指引
[431.02] 如果说你判断现在是秋天冬天行情
[434.12] 那不管是开单还是仓位
[436.02] 就要非常谨慎
[437.32] 止损、杠杆全都要降低
[439.68] 如果是春天夏天那种狂热的行情
[442.08] 就要相对激进一些
[443.92] 以比特币为例
[445.18] 从三万到七万这波其实走了三段行情
[448.62] 行情启动的位置就算是春天行情
[451.68] 这时候只有很少一部分资金会预判到行情的出现
[456.05] 当行情一直往上推
[457.85] 推到一个鼎盛的时候
[459.45] 就会经历震荡调整
[461.48] 大部分人和资金都会在相对较高的阶段才会开始关注异动
[466.02] 这种中期赚钱效应和资金的预期就像夏天一样狂热
[470.72] 市场的资金也会从一些币种中分离出来
[473.85] 流向个别几个龙头币中
[475.72] 山寨币最猛的就是在夏天的时候
[478.38] 比如当时的ORDI，Sol等等都在冒头
[481.78] 爆发就出现在这个阶段
[483.92] 等所有人都进场
[485.52] 市场就会打出一个高点
[487.38] 高点后就是大的回调然后开始持续震荡
[490.68] 这时候就到了秋天
[492.25] 之前没跟涨的币开始像秋后的蚂蚱一样补涨
[495.78] 这时候因为比特币在震荡
[497.92] 补涨的币走的都不会很流畅
[500.38] 虽然有波动幅度，但是很难把握住
[503.08] 很容易被反复的止损
[505.08] 在震荡的过程中，市场逐渐走向萎缩
[508.38] 走向冬天，市场熄火
[510.62] 只适合选择冬眠
[512.08] 然后等市场进入下一段循环
[514.92] 所以最好赚钱的阶段就是春天和夏天
[518.52] 但是行情启动阶段不容易抓到
[521.12] 那就只做夏天
[522.52] 夏天就是谁都能赚钱的行情
[525.05] 市场的风向标是比特币
[526.92] 我们只需要肉眼看到比特币已经突破重要位置在拉升
[530.98] 整体市场也够热
[532.38] 然后去找板块的龙头就可以
[534.72] 有一点需要记住
[536.12] 不从初始跟涨过的不可能是龙头
[538.78] 一定是春天的时候就跟随比特币涨过的币里面才会出现龙头
[543.52] 好了，娱乐节目没有任何投资建议
[546.38] 检查一下是否点击了订阅按钮
[548.68] 以免错过更更有利可图的交易系统
[551.32] 祝你早安午安晚安，拜拜
